Title,Publication Year,Publication Venue,System Number,Configuration,Role,SW Interaction,Application Domain,Relationship,Scale,Dynamics,Space
"Opisthenar: Hand Poses and Finger Tapping Recognition by Observing Back of Hand Using Embedded Wrist Camera. <a href=""https://dl.acm.org/doi/abs/10.1145/3332165.3347867"">Click</a>",2019,UIST,S45,Pairwise,Input Device,Interaction,\,Single user,Personal,Mobile,\
"WatchPen: Using Cross-Device Interaction Concepts to Augment Pen-Based Interaction. <a href=""https://dl.acm.org/doi/abs/10.1145/3338286.3340122"">Click</a>",2019,MobileHCI,S46,Distributed,Input Device & Extended Screen,Viewing/Sensing,Drawing,Single user,Personal,Mobile,\
"WRIST: Watch-Ring Interaction and Sensing Technique for Wrist Gestures and Macro-Micro Pointing. <a href=""https://dl.acm.org/doi/abs/10.1145/3338286.3340122"">Click</a>",2019,MobileHCI,S47,Pairwise,Input Device & Data Collector & Central Device,Interaction,Navigation,Single user,Personal,Mobile,\
"WRIST: Watch-Ring Interaction and Sensing Technique for Wrist Gestures and Macro-Micro Pointing. <a href=""https://dl.acm.org/doi/abs/10.1145/3338286.3340122"">Click</a>",2019,MobileHCI,S48,Distributed,Input Device & Data Collector & Central Device,Interaction,Drawing; Games,Single user,Personal,Semi-fixed,\
"Astral: Prototyping Mobile and Smart Object Interactive Behaviours Using Familiar Applications. <a href=""https://dl.acm.org/doi/abs/10.1145/3322276.3322329"">Click</a>",2019,DIS,S49,Pairwise,Input Device & Data Collector & Extended Screen,Interaction,\,Single user,Personal,Semi-fixed,\
"When David Meets Goliath: Combining Smartwatches with a Large Vertical Display for Visual Data Exploration. <a href=""https://dl.acm.org/doi/abs/10.1145/3173574.3173593"">Click</a>",2018,CHI,S50,Distributed,Input Device & Extended Screen,Interaction,\,Single user,Personal,Semi-fixed,\
"Pointing at a Distance with Everyday Smart Devices. <a href=""https://dl.acm.org/doi/abs/10.1145/3173574.3173747"">Click</a>",2018,CHI,S51,Pairwise,Input Device,Interaction,\,Single user,Personal,Semi-fixed,\
"Pointing at a Distance with Everyday Smart Devices. <a href=""https://dl.acm.org/doi/abs/10.1145/3173574.3173747"">Click</a>",2018,CHI,S52,Pairwise,Input Device,Interaction,\,Single user,Personal,Semi-fixed,\
"Easy Return: An App for Indoor Backtracking Assistance. <a href=""https://dl.acm.org/doi/abs/10.1145/3173574.3173591"">Click</a>",2018,CHI,S53,Pairwise,Input Device & Audio Output Device,Interaction,Support for blind person,Single user,Personal,Mobile,\
"WatchVR: Exploring the Usage of a Smartwatch for Interaction in Mobile Virtual Reality. <a href=""https://dl.acm.org/doi/abs/10.1145/3170427.3188629"">Click</a>",2018,CHI,S54,Pairwise,Input Device,Interaction,\,Single user,Personal,Mobile,\
"WatchVR: Exploring the Usage of a Smartwatch for Interaction in Mobile Virtual Reality. <a href=""https://dl.acm.org/doi/abs/10.1145/3170427.3188629"">Click</a>",2018,CHI,S55,Pairwise,Input Device,Interaction,\,Single user,Personal,Mobile,\
"WatchVR: Exploring the Usage of a Smartwatch for Interaction in Mobile Virtual Reality. <a href=""https://dl.acm.org/doi/abs/10.1145/3170427.3188629"">Click</a>",2018,CHI,S56,Pairwise,Input Device,Interaction,\,Single user,Personal,Mobile,\
"WatchVR: Exploring the Usage of a Smartwatch for Interaction in Mobile Virtual Reality. <a href=""https://dl.acm.org/doi/abs/10.1145/3170427.3188629"">Click</a>",2018,CHI,S57,Pairwise,Input Device,Interaction,\,Single user,Personal,Mobile,\
"FieldGuide: Smartwatches in a Multi-display Museum Environment. <a href=""https://dl.acm.org/doi/abs/10.1145/3170427.3188694"">Click</a>",2018,CHI,S58,Pairwise,Extended Screen,Interaction,Museum gallery exploration,Single user,Personal,Fixed,\
"Demo: BreathCoach: A Smart In-home Breathing Training System with Bio-Feedback via VR Game. <a href=""https://dl.acm.org/doi/abs/10.1145/3267305.3267582"">Click</a>",2018,Ubicomp,S59,Distributed,Data Collector,Other,In-home Breathing Training System,Single user,Personal,Fixed,\
"Ubicoustics: Plug-and-Play Acoustic Activity Recognition. <a href=""https://dl.acm.org/doi/abs/10.1145/3242587.3242609"">Click</a>",2018,UIST,S60,Distributed,Data Collector,Other,\,Single user,Personal,Mobile,\
"WatchSense: On- and Above-Skin Input Sensing through a Wearable Depth Sensor. <a href=""https://dl.acm.org/doi/abs/10.1145/3025453.3026005"">Click</a>",2017,CHI,S61,Pairwise,Input Device,Interaction,Image Exploration; Joystick-based game,Single user,Personal,Semi-fixed,\
"Virtual Reality Meets Smartwatch –Intuitive, Natural, and Multi-Modal Interaction. <a href=""https://dl.acm.org/doi/abs/10.1145/3027063.3053194"">Click</a>",2017,CHI,S62,Pairwise,Input Device,Interaction,\,Single user,Personal,Mobile,\
"SynCro: Context-Aware User Interface System for Smartphone–Smartwatch Cross-Device Interaction. <a href=""https://dl.acm.org/doi/abs/10.1145/3027063.3053088"">Click</a>",2017,CHI,S63,Pairwise,Data Collector & Extended Screen,Viewing/Sensing,Reading; Map viewing; Notification filtering,Single user,Personal,Mobile,\
"SoundCraft: Enabling Spatial Interactions on Smartwatches using Hand Generated Acoustics. <a href=""https://dl.acm.org/doi/abs/10.1145/3126594.3126612"">Click</a>",2017,UIST,S64,Pairwise,Data Collector,Other,3D model exploration; Multi-user game,Single user,Personal,Semi-fixed,\
"Typing on a Smartwatch for Smart Glasses. <a href=""https://dl.acm.org/doi/abs/10.1145/3132272.3134136"">Click</a>",2017,ISS,S65,Pairwise,Input Device,Interaction,\,Single user,Personal,Mobile,\
"Smart Home Control using Motion Matching and Smart Watches. <a href=""https://dl.acm.org/doi/abs/10.1145/3132272.3132283"">Click</a>",2017,ISS,S66,Distributed,Input Device,Interaction,Smart home control,Single user,Personal,Fixed,\
"SkinTrack: Using the Body as an Electrical Waveguide for Continuous Finger Tracking on the Skin. <a href=""https://dl.acm.org/doi/abs/10.1145/2858036.2858082"">Click</a>",2016,CHI,S67,Pairwise,Central Device,Viewing/Sensing,Drawing; Map control; Game,Single user,Personal,Mobile,\
"Mo-Bi: Contextual Mobile Interfaces through Bimanual Posture Sensing with Wrist-Worn Devices. <a href=""https://dl.acm.org/doi/abs/10.17210/hcik.2016.01.94"">Click</a>",2016,CHI,S68,Pairwise,Data Collector,Other,\,Single user,Personal,Mobile,\
"Assisting Food Journaling with Automatic Eating Detection. <a href=""https://dl.acm.org/doi/abs/10.1145/2851581.2892426"">Click</a>",2016,CHI,S69,Pairwise,Data Collector & Extended Screen,Interaction,Food Journaling,Single user,Personal,Mobile,\
"TakeOut: Drawing Application Using Distributed User Interface for Being Close to Real Experience. <a href=""https://dl.acm.org/doi/abs/10.1145/2968219.2971439"">Click</a>",2016,Ubicomp,S70,Pairwise,Extended Screen,Interaction,Drawing,Single user,Personal,Mobile,\
"Large Scale Mood and Stress Self-Assessments on a Smartwatch. <a href=""https://dl.acm.org/doi/abs/10.1145/2968219.2968305"">Click</a>",2016,Ubicomp,S71,Pairwise,Data Collector,Other,Mood and Stress Self-Assessments,Single user,Personal,Mobile,\
"DEMONS: An Integrated Framework for Examining Associations between Physiology and Self-Reported Affect Tied to Depressive Symptoms. <a href=""https://dl.acm.org/doi/abs/10.1145/2968219.2968300"">Click</a>",2016,Ubicomp,S72,Pairwise,Data Collector,Other,Depression monitoring,Single user,Personal,Mobile,\
"Automatic Authentication of Smartphone Touch Interactions using Smartwatch. <a href=""https://dl.acm.org/doi/abs/10.1145/2968219.2971370"">Click</a>",2016,Ubicomp,S73,Pairwise,Data Collector,Other,\,Single user,Personal,Mobile,\
"A Wearable System for Mood Assessment Considering Smartphone Features and Data From Mobile ECGs. <a href=""https://dl.acm.org/doi/abs/10.1145/2968219.2968302"">Click</a>",2016,Ubicomp,S74,Pairwise,Data Collector & Extended Screen,Interaction,Mood Assessment,Single user,Personal,Mobile,\
"ViBand: High-Fidelity Bio-Acoustic Sensing Using Commodity Smartwatch Accelerometers. <a href=""https://dl.acm.org/doi/abs/10.1145/2984511.2984582"">Click</a>",2016,UIST,S75,Pairwise,Input Device,Interaction,Smart home control,Single user,Personal,Fixed,\
"Reducing Distraction of Smartwatch Users with Deep Learning. <a href=""https://dl.acm.org/doi/abs/10.1145/2957265.2962662"">Click</a>",2016,MobileHCI,S76,Pairwise,Notification Device,Viewing/Sensing,Notification filtering,Single user,Personal,Mobile,\
"WhichHand: Automatic Recognition of a Smartphone’s Position in the Hand Using a Smartwatch. <a href="". https://dl.acm.org/doi/abs/10.1145/2957265.2961857"">Click</a>",2016,MobileHCI,S77,Pairwise,Data Collector,Other,\,Single user,Personal,Mobile,\
"CurationSpace: Cross-­Device Content Curation Using Instrumental Interaction. <a href=""https://dl.acm.org/doi/abs/10.1145/2992154.2992175"">Click</a>",2016,ISS,S78,Pairwise,Extended Screen,Interaction,Content Curation,Single user,Personal,Fixed,\
"WATCHCONNECT: A Toolkit for Prototyping Smartwatch-Centric Cross-Device Applications. <a href=""https://dl.acm.org/doi/abs/10.1145/2702123.2702215"">Click</a>",2015,CHI,S79,Pairwise,Input Device,Interaction,Cross-device unlocking; Map exploration,Single user,Personal,Semi-fixed,\
"MultiFi: Multi-Fidelity Interaction with Displays On and Around the Body. <a href=""https://dl.acm.org/doi/abs/10.1145/2702123.2702331"">Click</a>",2015,CHI,S80,Distributed,Extended Screen,Interaction,Map control,Single user,Personal,Mobile,\
"Vi-Bros: Tactile Feedback for Indoor Navigation with a Smartphone and a Smartwatch. <a href=""https://dl.acm.org/doi/abs/10.1145/2702613.2732811"">Click</a>",2015,CHI,S81,Pairwise,Notification Device,Viewing/Sensing,Indoor navigation,Single user,Personal,Mobile,\
"Harmonious Haptics: Enhanced Tactile Feedback Using a Mobile and a Wearable Device. <a href=""https://dl.acm.org/doi/abs/10.1145/2702613.2725428"">Click</a>",2015,CHI,S82,Pairwise,Perceptual Enhancer,Viewing/Sensing,\,Single user,Personal,Mobile,\
"Mixed-Reality Shopping System Using HMD and Smartwatch. <a href=""https://dl.acm.org/doi/abs/10.1145/2800835.2800888"">Click</a>",2015,Ubicomp,S83,Pairwise,Input Device,Interaction,Shopping,Single user,Personal,Mobile,\
"A Wearable Action Support System for Business Use by Context-aware Computing based on Web Schedule. <a href=""https://dl.acm.org/doi/abs/10.1145/2800835.2800863"">Click</a>",2015,Ubicomp,S84,Pairwise,Notification Device,Viewing/Sensing,Business Schedule,Single user,Personal,Mobile,\
"3D Interaction with Networked Public Displays Using Mobile and Wearable Devices. <a href=""https://dl.acm.org/doi/abs/10.1145/2800835.2807957"">Click</a>",2015,Ubicomp,S85,Pairwise,Input Device,Interaction,\,Single user,Personal,Semi-fixed,\
"PulseCam: Biophysically Driven Life Logging. <a href=""https://dl.acm.org/doi/abs/10.1145/2786567.2794320"">Click</a>",2015,MobileHCI,S86,Pairwise,Data Collector,Other,Life Logging,Single user,Personal,Semi-fixed,\
"Optimizing Smartphone Micro-usage with Smartwatch Notiﬁcations. <a href=""https://dl.acm.org/doi/abs/10.1145/2786567.2794313"">Click</a>",2015,MobileHCI,S87,Pairwise,Extended Screen,Interaction,\,Single user,Personal,Semi-fixed,\
"Optimizing Smartphone Micro-usage with Smartwatch Notiﬁcations. <a href=""https://dl.acm.org/doi/abs/10.1145/2786567.2794313"">Click</a>",2015,MobileHCI,S88,Pairwise,Extended Screen,Interaction,\,Single user,Personal,Semi-fixed,\
"Optimizing Smartphone Micro-usage with Smartwatch Notiﬁcations. <a href=""https://dl.acm.org/doi/abs/10.1145/2786567.2794313"">Click</a>",2015,MobileHCI,S89,Pairwise,Extended Screen,Interaction,\,Single user,Personal,Semi-fixed,\
"Duet: Exploring Joint Interactions on a Smart Phone and a Smart Watch. <a href=""https://dl.acm.org/doi/abs/10.1145/2556288.2556955"">Click</a>",2014,CHI,S90,Pairwise,Data Collector & Input Device & Notification Device & Extended Screen,Interaction,Cross-device reading; Map viewing; Call,Single user,Personal,Semi-fixed,\
